Table S6: Manual literature review of genera classified by decontam as contaminants			
Genera	Category	Comments	Options
Acetobacterium	LIKELY CONTAMINANT		
Acidibacillus	LIKELY CONTAMINANT		
Acidiphilium	LIKELY CONTAMINANT		
Aequorivita	LIKELY CONTAMINANT		
Akkermansia	POTENTIALLY PATHOGENIC OR COMMENSAL	PMID: 27352007	
Alcaligenes	POTENTIALLY PATHOGENIC OR COMMENSAL	"Alcaligenes spp. have been isolated from various clinical sources such as blood, feces, sputum, urine, CSF, wounds, burns and swabs taken from throat, eyes and ear discharges… from the sputum of CF patients has been associated with an exacerbation of pulmonary symptoms" (https://www.sciencedirect.com/science/article/pii/B9780702062858001817)	
Alcanivorax	LIKELY CONTAMINANT		
Aliivibrio	LIKELY CONTAMINANT		
Alkaliphilus	LIKELY CONTAMINANT		
Alloscardovia	POTENTIALLY PATHOGENIC OR COMMENSAL	PMID: 19641056, 27053667	
Alphabaculovirus	LIKELY CONTAMINANT		
Alteromonas	LIKELY CONTAMINANT		
Aminiphilus	LIKELY CONTAMINANT		
Anabaena	LIKELY CONTAMINANT		
Anaeromyxobacter	LIKELY CONTAMINANT		
Anaerosalibacter	LIKELY CONTAMINANT		
Anaerovorax	POTENTIALLY PATHOGENIC OR COMMENSAL	PMID: 25227462	
Anditalea	LIKELY CONTAMINANT		
Aphanizomenon	LIKELY CONTAMINANT		
Aphanocapsa	LIKELY CONTAMINANT		
Arthrospira	LIKELY CONTAMINANT		
Ascovirus	LIKELY CONTAMINANT		
Asticcacaulis	LIKELY CONTAMINANT		
Atopobium	POTENTIALLY PATHOGENIC OR COMMENSAL	PMID: 22082330	
Aviadenovirus	LIKELY CONTAMINANT		
Avibacterium	LIKELY CONTAMINANT		
Avipoxvirus	LIKELY CONTAMINANT		
Azospirillum	LIKELY CONTAMINANT		
Barnesiella	POTENTIALLY PATHOGENIC OR COMMENSAL	PMID: 23319552	
Bartonella	POTENTIALLY PATHOGENIC OR COMMENSAL	Cat-scratch disease	
Bdellovibrio	LIKELY CONTAMINANT		
Beijerinckia	LIKELY CONTAMINANT		
Bergeyella	POTENTIALLY PATHOGENIC OR COMMENSAL	PMID: 28403835, 14715767	
Betabaculovirus	LIKELY CONTAMINANT		
Betalipothrixvirus	UNKNOWN	Natural host is archaea	
Bhargavaea	LIKELY CONTAMINANT		
